Start Date,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity
05-11-2009,437.96,84.05,240.28,213.93,125.25,45.57,138.48,63.73,162.33,84.17,293.45,168.31,192.14,77.66,120.39,1070.75,1567.8,279.7,277.71,179.49,685.47,1485.7
06-11-2009,441.65,82.95,243.18,220.5,125.7,46.89,140.29,65.03,164,85.04,291.65,168.79,193.06,76.12,120.09,1069.25,1529.4,272.6,277.33,190.79,702.02,1471.25
09-11-2009,456.74,86.35,250.91,231.82,129.45,47.77,140.83,67.06,170.75,86.38,294.4,168.99,194.47,81.46,121.03,1099.85,1554.3,271.4,279.01,200.83,711.76,1484.25
10-11-2009,463.53,85.82,250.68,236.89,126.5,47.34,140.33,66.75,170.35,87.88,300.55,167.6,188.95,84.91,119.14,1091.25,1496.85,263.85,277.24,197.66,709.98,1445.55
11-11-2009,476.96,85.62,258.23,237.83,131.85,49.4,143.69,68.21,173.58,86.36,304.75,168.47,191.74,84.89,123.75,1128.9,1513.7,265.75,288.34,203.28,728.47,1451.45
12-11-2009,474.08,84.32,259.34,229.37,129.05,48.04,144.14,69.25,171.66,85.66,304.6,165.87,191.33,82.68,125.32,1108.75,1520.9,264.4,290.8,197.23,729.07,1423.1
13-11-2009,478.2,84.83,257.43,229.99,130.85,48.85,145.36,68.5,172.23,87.06,304.05,166.75,197.35,89.62,127.01,1108.65,1578.9,269.8,294.96,202.59,730.84,1478.35
16-11-2009,485.89,85.2,262.23,234.55,134.4,50.33,148.27,68.8,172.36,87.18,304.05,167.59,199.93,92.48,127.97,1102.35,1647.1,274.3,293.99,206,734.64,1558.35
17-11-2009,481.1,84.88,258.66,235.08,135.15,50.55,146.07,68.97,174.97,86.64,304.35,167.78,195.52,92.75,128.93,1110.75,1686.4,276.6,299.79,207.45,736.13,1556.35
18-11-2009,473.81,86.25,257.16,232.78,134.65,51.35,143.53,69.31,174.96,85.83,309.1,167.75,196.64,96.54,129.36,1107.65,1666.4,276.75,304.16,203.79,723.49,1559.25
19-11-2009,470.14,85.55,253.48,228.14,130.1,50.39,141.61,70.04,171.96,84.65,304.1,168.98,193.94,95.89,129.67,1098.9,1640.55,275.5,301.24,196.01,717.67,1550.55
20-11-2009,479.05,86.63,260.05,233.49,134.6,51.87,143.68,68.08,175.4,86.8,308.75,169.1,194.79,95.89,130.25,1117.55,1651.8,276.6,303.34,198.33,726.11,1542.8
23-11-2009,495.22,89.6,260.88,232,133.2,53.76,147,67.66,176.55,87.86,322.5,170.03,197.74,97.16,129.42,1104.15,1653.5,280.85,300.87,201.29,726.89,1560.25
24-11-2009,491.22,87.93,267.58,230.56,134.55,52.41,145.98,67.11,177.69,90,327.85,169.99,195.55,99.96,129.87,1109.35,1689.6,279.9,304.34,194.56,733.02,1599.65
25-11-2009,495.16,89.63,264.95,232.21,135,52.82,145.16,66.66,180.27,96.14,326.1,168.17,196.67,100.35,129.54,1100.25,1724.45,284.25,304.82,197.49,733.69,1621.95
26-11-2009,480,87.1,256.41,225.47,133.1,51,146.48,64.07,176.12,95.22,317.8,168.45,195.69,98.02,126.29,1114.2,1740.5,286.7,299.18,196.05,724.93,1579.4
27-11-2009,471.97,85.43,254.78,224.29,132.85,51.11,145.98,64.14,175.04,96.94,320.4,164.02,194.19,94.24,124.94,1109.05,1747.75,284.3,290.98,190.93,706.42,1567.2
30-11-2009,479.89,85.7,257.34,223.96,138.1,54.34,145.18,66.92,176.63,98.35,320,167.97,199.96,99.32,126.24,1128.95,1725.4,285.2,297.42,196.78,717.6,1557.35
01-12-2009,495.46,86.02,270.04,229.16,142.1,54.56,153.99,67.04,178.97,100.93,328.8,170.75,199.63,101.59,128.06,1145,1730.6,278.65,299.47,203.86,724.09,1587.2
02-12-2009,496.56,85.67,267.59,230.9,142.75,53.92,149.72,66.44,180.71,99.09,330.8,169.71,197.49,102.27,127.03,1124.15,1705.65,274.8,299.43,204.35,722.93,1612.95
03-12-2009,496.2,85.15,266.94,235.46,146.05,54.75,149.48,67.68,180.7,100.55,346.05,168.71,199.99,101.9,128.57,1124,1693.7,270.65,297.12,201.55,721.98,1643
04-12-2009,491.12,85.57,261.68,232.81,147.25,54.03,148.27,67.68,178.96,102.94,358.95,167.76,196.52,101.7,128.01,1120.35,1665.9,271.95,297.95,198.96,721.29,1591.95
07-12-2009,476.05,84.93,256.77,232.18,142.7,52.14,145.19,67.56,179.74,103.93,351.8,167.11,196.51,94.89,128,1094.6,1676.9,271.75,298.83,196.14,727.67,1577.5
08-12-2009,487.49,86.2,258.4,230.73,146.1,53.3,146.48,67.78,183.33,106.34,348.1,169.72,196.63,101.21,129.95,1097.1,1671,277,305.81,201.61,736.18,1568.45
09-12-2009,483.66,85.52,257.61,229.39,141.75,51.12,148,66.91,180.44,105.84,350.05,170.01,196.66,98.69,131.37,1077,1700.1,276.7,307.07,197.55,736.36,1611.1
10-12-2009,483.63,84.73,260.8,229.7,143,51.5,145.28,66.71,178.51,105.67,342.95,169.83,199.24,97.5,130.12,1106.45,1676.4,273.05,306.62,200.1,750.07,1589.95
11-12-2009,483.39,84.25,257.36,226.65,141.9,51.27,144.23,66.77,178.52,103.73,340.4,170.74,198.27,97.89,129.32,1103.05,1670.1,272.95,307.59,200.71,751.4,1591.75
14-12-2009,481.9,83.57,259.98,224.69,140.15,51.08,145.54,64.9,175.73,103.43,342.2,171.25,200.52,97.49,132.15,1103.7,1684.4,267.55,312.34,199.58,755.53,1609.45
15-12-2009,474.52,83.82,254.14,218.05,141.6,51.27,145.38,64.6,170.08,102.58,346.75,173.46,198.98,95.29,132.27,1123.8,1660.2,266.35,313.26,197.13,747.51,1578.85
16-12-2009,472.51,83.13,261.66,215.26,143.05,52.31,147.32,63.88,169.33,101.58,342.25,176.89,198.17,97.79,134.66,1143.95,1654.3,263.8,318.11,194.01,748.02,1569.95
17-12-2009,467.01,83.08,264.31,216.62,145.15,52.93,148.9,66.33,167.15,99.8,354.6,177.08,200.11,98.7,134.77,1174.45,1664.65,268.8,319.88,195.9,737.73,1554.45
18-12-2009,454.69,82.33,263.66,214.54,142.85,52.84,150.48,66.47,166.41,99.23,356.55,180.01,197.54,97.77,135.4,1207.05,1672.9,263.35,315.74,193.73,733.36,1548.8
21-12-2009,458.88,81.6,254.43,214.58,137.15,52.15,149.83,68.9,165.28,98.95,343.95,173.79,196.33,96.27,135.93,1222.3,1670.1,262.1,313.76,194.89,715.58,1521.25
22-12-2009,459.9,82.08,252.44,216.59,142.45,54.15,150.3,68.45,164.66,101.35,346.3,173.66,193.51,98.35,136.2,1206.85,1698.75,261.3,312.8,199.73,718.62,1531.25
23-12-2009,481.11,84.53,260.54,221,153.4,56.67,154.41,68.69,169.04,101.78,348.65,175.79,196.49,101.82,139.17,1213.3,1704.4,264.3,322.97,202.53,743.11,1558.35
24-12-2009,485.67,85.28,266.24,221.91,158.15,57.75,156.7,70.98,171.07,102.25,345.7,175.67,199.58,102.49,139.35,1184.05,1735.4,265.65,323.98,201.29,747.62,1565.95
25-12-2009,485.67,85.28,266.24,221.91,158.15,57.75,156.7,70.98,171.07,102.25,345.7,175.67,199.58,102.49,139.35,1184.05,1735.4,265.65,323.98,201.29,747.62,1565.95
28-12-2009,485.67,85.28,266.24,221.91,158.15,57.75,156.7,70.98,171.07,102.25,345.7,175.67,199.58,102.49,139.35,1184.05,1735.4,265.65,323.98,201.29,747.62,1565.95
29-12-2009,487.45,85.4,264.91,222.01,162,58.35,153.38,71.81,169.7,102.53,335.7,176.58,196.93,102.41,136.68,1146.4,1743.8,265,322.14,202.16,748.22,1567.15
30-12-2009,485.55,83.57,266.1,222.43,159.9,57.67,151.53,72.91,169.25,103.28,339.35,176.55,195.73,101.34,136.73,1137.6,1705.75,266.1,322.5,204.9,739.33,1570.4
31-12-2009,492.1,83.6,270.21,226.9,160.85,57.95,150.88,71.17,170.23,105.93,335.05,179.72,196.33,101.32,136.46,1146.6,1717.7,264.8,325.14,201.74,745.6,1560.1
01-01-2010,492.1,83.6,270.21,226.9,160.85,57.95,150.88,71.17,170.23,105.93,335.05,179.72,196.33,101.32,136.46,1146.6,1717.7,264.8,325.14,201.74,745.6,1560.1
04-01-2010,485.3,84.55,282.46,229.12,163.5,59.45,150.73,71.08,170.57,108.46,337.55,178.87,197.91,102.3,139.23,1142.15,1712.95,264.7,326.58,205.73,751.73,1551.45
05-01-2010,483.14,85.38,287.66,229.21,175.2,60.89,155.27,72.53,170.72,106.83,331.5,179.43,201.38,113.49,141.43,1177.45,1717.4,263.85,327.67,207.76,753.07,1515.85
06-01-2010,490.94,85.58,294.56,230.58,171.05,60.23,157.28,73.7,170.83,105.22,344.9,178.89,203.92,114.9,138.57,1207.65,1695.4,265.35,322.89,210.29,744.73,1461.65
07-01-2010,499.09,85.32,288.95,229.29,175.15,60.96,154.89,75.53,171.28,103.18,342.05,177.07,204.13,112.45,136.11,1188.95,1653.2,264.8,315.63,212.65,741.16,1453.3
08-01-2010,497.78,85.5,288.98,228.61,173.3,60.83,157.5,74.84,171.51,104.93,341.1,179.99,202.62,111.81,134.06,1194.1,1645.2,265.95,308.02,211.34,745.84,1433.15
11-01-2010,488.01,85.53,289.8,226.72,171.7,60.84,157.47,74.23,170.82,104.65,342.3,179.69,202.75,114.27,132.73,1200.15,1676.4,266.1,311.21,212.15,745.47,1454.75
12-01-2010,489.3,83.35,298.05,220.32,167.85,58.68,157.18,74.04,169.52,104.59,339.65,184.38,198.49,112.8,139.23,1209.5,1644.75,262.15,323.37,205.76,746.33,1441
13-01-2010,491.22,82.98,288.4,217.59,171.15,59.97,154.78,73.47,168.93,104.97,341.85,185.83,199.22,114.16,143.6,1228.25,1625.75,262.5,335.44,203.25,743.64,1428.75
14-01-2010,506.15,82.72,292.91,215.74,170.85,60.76,155.95,75.86,168.38,104.3,340.8,188.17,205.29,118.21,148.72,1237.1,1621.3,256.05,336.22,206.1,741.51,1414.85
